ID,loan_type,loan_purpose,business_or_commercial,rate_of_interest
32624,type1,p1,nob/c,4.18
32625,type1,p4,nob/c,4.25
32626,type1,p4,nob/c,3.75
32627,type1,p1,nob/c,3.75
32628,type1,p4,nob/c,4.625
32629,type1,p1,nob/c,4.875
32630,type1,p3,nob/c,4.5
32631,type1,p3,nob/c,4.99
32632,type2,p4,b/c,3.25
32633,type1,p1,nob/c,0
32634,type1,p3,nob/c,4.5
32635,type1,p3,nob/c,3.625
32636,type2,p3,b/c,0
32637,type1,p4,nob/c,3.625
32638,type1,p4,nob/c,0
32639,type3,p4,nob/c,3.125
32640,type1,p4,nob/c,4.18
32641,type1,p3,nob/c,3.875
32642,type2,p3,b/c,4.375
32643,type3,p3,nob/c,3.25
32644,type1,p4,nob/c,3.69
32645,type1,p3,nob/c,3.99
32646,type3,p1,nob/c,3.875
32647,type1,p4,nob/c,3.625
32648,type1,p1,nob/c,4.5
32649,type1,p4,nob/c,4.5
32650,type1,p4,nob/c,0
32651,type2,p1,b/c,0
32652,type1,p3,nob/c,0
32653,type1,p4,nob/c,4.25
32654,type1,p1,nob/c,0
32655,type1,p3,nob/c,4.125
32656,type1,p3,nob/c,3.99
32657,type1,p4,nob/c,0
32658,type1,p1,nob/c,4.5
32659,type1,p3,nob/c,3.375
32660,type1,p4,nob/c,3.85
32661,type1,p1,nob/c,5.19
32662,type1,p4,nob/c,3.875
32663,type1,p4,nob/c,3.5
32664,type1,p1,nob/c,3.99
32665,type1,p3,nob/c,3.75
32666,type3,p3,nob/c,3.99
32667,type1,p3,nob/c,4.56
32668,type2,p1,b/c,4.49
32669,type1,p4,nob/c,3.625
32670,type1,p1,nob/c,4.375
32671,type1,p3,nob/c,4.99
32672,type1,p4,nob/c,0
32673,type3,p4,nob/c,2.99
32674,type1,p4,nob/c,3.75
32675,type1,p1,nob/c,3.99
32676,type1,p1,nob/c,4.375
32677,type1,p3,nob/c,3.99
32678,type1,p4,nob/c,3.375
32679,type1,p3,nob/c,4.5
32680,type1,p4,nob/c,3.375
32681,type1,p1,nob/c,3.5
32682,type3,p3,nob/c,3.25
32683,type2,p3,b/c,4.625
32684,type1,p1,nob/c,3.625
32685,type1,p4,nob/c,4.125
32686,type1,p1,nob/c,0
32687,type3,p3,nob/c,0
32688,type1,p3,nob/c,3.99
32689,type1,p1,nob/c,2.75
32690,type3,p4,nob/c,3.25
32691,type1,p4,nob/c,3.99
32692,type1,p1,nob/c,0
32693,type2,p3,b/c,3.25
32694,type1,p3,nob/c,0
32695,type1,p3,nob/c,0
32696,type1,p3,nob/c,4.25
32697,type1,p3,nob/c,4.5
32698,type1,p4,nob/c,3.5
32699,type1,p3,nob/c,0
32700,type1,p4,nob/c,3.875
32701,type2,p3,b/c,3.5
32702,type1,p3,nob/c,3.99
32703,type1,p1,nob/c,0
32704,type1,p4,nob/c,3.25
32705,type1,p3,nob/c,3.99
32706,type1,p4,nob/c,4.125
32707,type1,p3,nob/c,4.75
32708,type2,p1,b/c,3.125
32709,type1,p3,nob/c,3.75
32710,type1,p4,nob/c,4.625
32711,type1,p4,nob/c,0
32712,type1,p3,nob/c,3.25
32713,type2,p3,b/c,4.5
32714,type1,p3,nob/c,3.25
32715,type1,p4,nob/c,3.75
32716,type1,p4,nob/c,3.99
32717,type1,p3,nob/c,0
32718,type1,p4,nob/c,3.99
32719,type3,p4,nob/c,2.75
32720,type1,p1,nob/c,0
32721,type2,p3,b/c,0
32722,type1,p3,nob/c,4.875
32723,type1,p3,nob/c,0
32724,type2,p1,b/c,4.49
32725,type1,p3,nob/c,0
32726,type1,p3,nob/c,4.5
32727,type1,p4,nob/c,4
32728,type1,p4,nob/c,0
32729,type1,p3,nob/c,3.875
32730,type1,p3,nob/c,4.375
32731,type2,p3,b/c,3.5
32732,type1,p4,nob/c,3.75
32733,type1,p4,nob/c,4.125
32734,type1,p1,nob/c,4
32735,type1,p1,nob/c,3.75
32736,type3,p4,nob/c,3.375
32737,type1,p4,nob/c,3.75
32738,type1,p1,nob/c,3.625
32739,type3,p3,nob/c,2.75
32740,type1,p3,nob/c,4.5
32741,type1,p4,nob/c,4.25
32742,type2,p1,b/c,4.99
32743,type1,p3,nob/c,4.25
32744,type2,p3,b/c,4.99
32745,type1,p1,nob/c,4.875
32746,type1,p3,nob/c,0
32747,type1,p1,nob/c,4.75
32748,type3,p1,nob/c,3.99
32749,type1,p4,nob/c,3.875
32750,type2,p3,b/c,3.5
32751,type1,p1,nob/c,3.375
32752,type1,p4,nob/c,4.375
32753,type1,p4,nob/c,4.375
32754,type1,p1,nob/c,3.125
32755,type3,p3,nob/c,4.875
32756,type1,p4,nob/c,3.875
32757,type1,p4,nob/c,3.5
32758,type3,p4,nob/c,3.125
32759,type1,p3,nob/c,3.5
32760,type1,p1,nob/c,4.625
32761,type1,p1,nob/c,3.75
32762,type1,p1,nob/c,3.875
32763,type1,p4,nob/c,3.75
32764,type1,p4,nob/c,3.99
32765,type1,p4,nob/c,4.25
32766,type1,p1,nob/c,3.875
32767,type1,p1,nob/c,4.375
32768,type3,p4,nob/c,3.25
32769,type1,p3,nob/c,0
32770,type1,p4,nob/c,4.125
32771,type1,p3,nob/c,0
32772,type1,p1,nob/c,3.75
32773,type1,p4,nob/c,0
32774,type1,p1,nob/c,0
32775,type1,p4,nob/c,3.5
32776,type1,p4,nob/c,4.99
32777,type1,p4,nob/c,3.625
32778,type1,p4,nob/c,3.99
32779,type1,p3,nob/c,4.75
32780,type3,p4,nob/c,3.5
32781,type1,p4,nob/c,0
32782,type3,p4,nob/c,4.625
32783,type1,p4,nob/c,3.75
32784,type3,p4,nob/c,3.25
32785,type2,p3,b/c,0
32786,type1,p3,nob/c,4.125
32787,type1,p4,nob/c,3.625
32788,type2,p3,b/c,4.75
32789,type1,p3,nob/c,0
32790,type1,p1,nob/c,4.625
32791,type1,p4,nob/c,3.125
32792,type1,p3,nob/c,0
32793,type1,p3,nob/c,4.25
32794,type1,p1,nob/c,3.875
32795,type2,p1,b/c,0
32796,type3,p4,nob/c,2.75
32797,type1,p3,nob/c,4.625
32798,type1,p3,nob/c,0
32799,type1,p2,nob/c,5.25
32800,type1,p1,nob/c,3.75
32801,type1,p3,nob/c,3.5
32802,type1,p1,nob/c,3.99
32803,type1,p1,nob/c,0
32804,type1,p4,nob/c,5.5
32805,type1,p4,nob/c,3.99
32806,type1,p3,nob/c,0
32807,type1,p3,nob/c,4.99
32808,type1,p1,nob/c,3.875
32809,type1,p4,nob/c,3.99
32810,type1,p4,nob/c,4.25
32811,type1,p1,nob/c,3.5
32812,type1,p3,nob/c,6.24
32813,type1,p1,nob/c,0
32814,type1,p4,nob/c,3.99
32815,type1,p1,nob/c,4.25
32816,type1,p4,nob/c,4.25
32817,type1,p4,nob/c,3.99
32818,type1,p1,nob/c,0
32819,type1,p4,nob/c,0
32820,type1,p1,nob/c,0
32821,type1,p1,nob/c,3.5
32822,type1,p4,nob/c,3.625
32823,type1,p4,nob/c,3.75
32824,type1,p4,nob/c,4.5
32825,type1,p4,nob/c,3.375
32826,type1,p3,nob/c,0
32827,type3,p3,nob/c,4.125
32828,type1,p3,nob/c,0
32829,type2,p3,b/c,3.625
32830,type1,p4,nob/c,2.75
32831,type2,p1,b/c,4.875
32832,type2,p1,b/c,3.99
32833,type1,p4,nob/c,0
32834,type2,p3,b/c,3.875
32835,type1,p3,nob/c,5.125
32836,type1,p2,nob/c,0
32837,type1,p3,nob/c,3.75
32838,type2,p1,b/c,4.75
32839,type1,p1,nob/c,3.99
32840,type1,p1,nob/c,0
32841,type1,p4,nob/c,3.75
32842,type1,p3,nob/c,0
32843,type1,p4,nob/c,3.99
32844,type1,p1,nob/c,0
32845,type1,p1,nob/c,3.5
32846,type1,p3,nob/c,4.25
32847,type1,p4,nob/c,3.99
32848,type1,p3,nob/c,3.375
32849,type1,p1,nob/c,4.5
32850,type1,p4,nob/c,4.56
32851,type2,p1,b/c,3.875
32852,type1,p4,nob/c,0
32853,type1,p4,nob/c,4.625
32854,type1,p3,nob/c,4
32855,type1,p3,nob/c,3.625
32856,type1,p3,nob/c,0
32857,type1,p1,nob/c,3.625
32858,type1,p1,nob/c,4.75
32859,type2,p2,b/c,0
32860,type1,p4,nob/c,3.625
32861,type3,p4,nob/c,3.5
32862,type1,p3,nob/c,3.75
32863,type1,p1,nob/c,0
32864,type1,p1,nob/c,3.99
32865,type1,p3,nob/c,3
32866,type3,p4,nob/c,3.49
32867,type1,p3,nob/c,4.56
32868,type1,p1,nob/c,0
32869,type1,p1,nob/c,4.5
32870,type1,p4,nob/c,0
32871,type1,p3,nob/c,4.875
32872,type1,p3,nob/c,4
32873,type1,p3,nob/c,4.875
32874,type1,p1,nob/c,0
32875,type1,p1,nob/c,4.5
32876,type1,p3,nob/c,4.75
32877,type1,p4,nob/c,4.99
32878,type1,p4,nob/c,3.625
32879,type1,p1,nob/c,4.25
32880,type1,p1,nob/c,3.875
32881,type1,p4,nob/c,3.625
32882,type1,p1,nob/c,0
32883,type1,p1,nob/c,4.5
32884,type2,p1,b/c,3.99
32885,type1,p1,nob/c,0
32886,type1,p1,nob/c,4.125
32887,type1,p4,nob/c,0
32888,type1,p1,nob/c,4.625
32889,type1,p3,nob/c,4.99
32890,type1,p4,nob/c,3.99
32891,type3,p4,nob/c,0
32892,type2,p4,b/c,0
32893,type1,p3,nob/c,3.99
32894,type1,p3,nob/c,4.375
32895,type3,p4,nob/c,0
32896,type1,p3,nob/c,0
32897,type1,p1,nob/c,4
32898,type1,p3,nob/c,3.625
32899,type1,p3,nob/c,3.99
32900,type1,p4,nob/c,4.25
32901,type1,p1,nob/c,4.99
32902,type2,p4,b/c,0
32903,type1,p1,nob/c,4.25
32904,type1,p4,nob/c,4
32905,type1,p1,nob/c,3.625
32906,type1,p3,nob/c,4.5
32907,type1,p4,nob/c,3.375
32908,type1,p1,nob/c,4.125
32909,type1,p4,nob/c,3.75
32910,type2,p4,b/c,3.25
32911,type1,p3,nob/c,5.19
32912,type1,p3,nob/c,5.375
32913,type3,p4,nob/c,0
32914,type2,p4,b/c,3.25
32915,type3,p1,nob/c,0
32916,type1,p3,nob/c,4.5
32917,type3,p4,nob/c,3.375
32918,type1,p3,nob/c,3.875
32919,type3,p3,nob/c,0
32920,type1,p2,nob/c,4.25
32921,type1,p1,nob/c,0
32922,type1,p1,nob/c,4.75
32923,type1,p4,nob/c,3.69
32924,type3,p4,nob/c,3.99
32925,type2,p3,b/c,0
32926,type2,p3,b/c,3.625
32927,type1,p4,nob/c,3.625
32928,type1,p1,nob/c,5
32929,type2,p3,b/c,4.99
32930,type1,p4,nob/c,0
32931,type1,p1,nob/c,4.5
32932,type1,p3,nob/c,3.99
32933,type3,p4,nob/c,3.5
32934,type1,p1,nob/c,3.25
32935,type1,p4,nob/c,3.99
32936,type1,p3,nob/c,3.56
32937,type1,p4,nob/c,3.5
32938,type2,p1,b/c,0
32939,type1,p3,nob/c,3.75
32940,type1,p4,nob/c,3.75
32941,type1,p3,nob/c,3.625
32942,type1,p4,nob/c,3.875
32943,type1,p1,nob/c,4.75
32944,type1,p4,nob/c,4.99
32945,type2,p4,b/c,3.99
32946,type1,p1,nob/c,3.625
32947,type3,p3,nob/c,4.25
32948,type1,p4,nob/c,0
32949,type1,p4,nob/c,3.75
32950,type1,p4,nob/c,0
32951,type3,p3,nob/c,3.25
32952,type1,p3,nob/c,4.875
32953,type1,p3,nob/c,0
32954,type1,p3,nob/c,4.625
32955,type1,p4,nob/c,3.625
32956,type1,p4,nob/c,4.18
32957,type1,p4,nob/c,3.99
32958,type3,p4,nob/c,3.5
32959,type1,p1,nob/c,3.75
32960,type1,p3,nob/c,4.875
32961,type1,p4,nob/c,3.75
32962,type2,p1,b/c,0
32963,type2,p1,b/c,4.25
32964,type1,p2,nob/c,4
32965,type1,p4,nob/c,4.99
32966,type1,p4,nob/c,3.625
32967,type3,p4,nob/c,2.875
32968,type1,p3,nob/c,0
32969,type1,p4,nob/c,3.69
32970,type1,p4,nob/c,0
32971,type2,p3,b/c,3.99
32972,type3,p4,nob/c,3.125
32973,type1,p4,nob/c,0
32974,type1,p4,nob/c,0
32975,type1,p3,nob/c,3.99
32976,type1,p3,nob/c,4.375
32977,type3,p1,nob/c,3.5
32978,type1,p3,nob/c,3.625
32979,type1,p3,nob/c,3.625
32980,type1,p1,nob/c,4.375
32981,type1,p3,nob/c,3.625
32982,type1,p4,nob/c,3.99
32983,type1,p3,nob/c,0
32984,type2,p1,b/c,3.625
32985,type3,p4,nob/c,2.75
32986,type1,p3,nob/c,3.875
32987,type1,p4,nob/c,0
32988,type1,p3,nob/c,4.25
32989,type1,p3,nob/c,4.625
32990,type1,p3,nob/c,6.24
32991,type1,p3,nob/c,4.5
32992,type1,p1,nob/c,3.99
32993,type1,p4,nob/c,4.125
32994,type1,p1,nob/c,0
32995,type1,p3,nob/c,3.99
32996,type1,p1,nob/c,0
32997,type1,p3,nob/c,3.99
32998,type1,p1,nob/c,0
32999,type1,p4,nob/c,3.875
33000,type1,p4,nob/c,0
33001,type1,p3,nob/c,0
33002,type1,p3,nob/c,0
33003,type1,p4,nob/c,2.99
33004,type1,p1,nob/c,0
33005,type1,p3,nob/c,3.99
33006,type1,p3,nob/c,4.75
33007,type1,p2,nob/c,0
33008,type2,p3,b/c,3.375
33009,type1,p1,nob/c,4.99
33010,type1,p4,nob/c,3.625
33011,type1,p3,nob/c,0
33012,type1,p4,nob/c,4.375
33013,type2,p3,b/c,3.875
33014,type1,p3,nob/c,5.19
33015,type1,p1,nob/c,3.375
33016,type2,p1,b/c,4.125
33017,type2,p4,b/c,3.125
33018,type1,p1,nob/c,3.875
33019,type2,p3,b/c,0
33020,type2,p3,b/c,0
33021,type1,p3,nob/c,4.875
33022,type1,p1,nob/c,4.75
33023,type1,p4,nob/c,4.375
33024,type1,p4,nob/c,3.5
33025,type3,p3,nob/c,0
33026,type1,p4,nob/c,3.25
33027,type1,p4,nob/c,3.625
33028,type1,p4,nob/c,0
33029,type1,p3,nob/c,3.875
33030,type1,p4,nob/c,3.75
33031,type1,p3,nob/c,4.625
33032,type2,p3,b/c,0
33033,type1,p3,nob/c,0
33034,type1,p3,nob/c,4.5
33035,type1,p3,nob/c,0
33036,type1,p3,nob/c,4.99
33037,type1,p3,nob/c,3.25
33038,type1,p4,nob/c,3.875
33039,type1,p3,nob/c,4.25
33040,type2,p1,b/c,4.25
33041,type1,p3,nob/c,0
33042,type1,p4,nob/c,4.375
33043,type1,p3,nob/c,4.75
33044,type1,p4,nob/c,3.75
33045,type3,p3,nob/c,0
33046,type1,p1,nob/c,4.18
33047,type1,p1,nob/c,3.875
33048,type1,p3,nob/c,0
33049,type1,p4,nob/c,0
33050,type1,p4,nob/c,3.99
33051,type1,p4,nob/c,3.75
33052,type1,p4,nob/c,3.5
33053,type2,p1,b/c,0
33054,type2,p3,b/c,4.75
33055,type1,p1,nob/c,5.375
33056,type1,p4,nob/c,3.75
33057,type1,p4,nob/c,3.875
33058,type1,p3,nob/c,0
33059,type1,p1,nob/c,4
33060,type2,p1,b/c,3.75
33061,type1,p1,nob/c,3.625
33062,type1,p3,nob/c,0
33063,type1,p1,nob/c,3.375
33064,type1,p1,nob/c,5.375
33065,type1,p3,nob/c,4.25
33066,type1,p2,nob/c,0
33067,type1,p4,nob/c,3.75
33068,type1,p4,nob/c,4
33069,type3,p3,nob/c,3.49
33070,type1,p4,nob/c,4.375
33071,type1,p3,nob/c,3.5
33072,type3,p4,nob/c,0
33073,type2,p4,b/c,3.99
33074,type1,p4,nob/c,3.375
33075,type1,p3,nob/c,4.125
33076,type1,p3,nob/c,4.375
33077,type1,p1,nob/c,0
33078,type1,p3,nob/c,0
33079,type3,p1,nob/c,2.99
33080,type1,p1,nob/c,0
33081,type1,p4,nob/c,4.125
33082,type1,p3,nob/c,0
33083,type1,p3,nob/c,3.69
33084,type1,p1,nob/c,0
33085,type1,p3,nob/c,0
33086,type1,p4,nob/c,3.99
33087,type1,p3,nob/c,3.625
33088,type1,p3,nob/c,3.75
33089,type3,p4,nob/c,3.5
33090,type1,p1,nob/c,3.875
33091,type1,p4,nob/c,0
33092,type1,p1,nob/c,4.75
33093,type1,p3,nob/c,4.25
33094,type3,p4,nob/c,3.125
33095,type1,p3,nob/c,0
33096,type2,p1,b/c,3.25
33097,type2,p3,b/c,3.99
33098,type1,p4,nob/c,3.525
33099,type1,p3,nob/c,5.25
33100,type1,p1,nob/c,5.125
33101,type1,p4,nob/c,0
33102,type3,p3,nob/c,3.75
33103,type1,p4,nob/c,3.375
33104,type1,p4,nob/c,0
33105,type1,p1,nob/c,3.5
33106,type1,p3,nob/c,3.375
33107,type1,p3,nob/c,3.625
33108,type2,p4,b/c,0
33109,type1,p3,nob/c,3.75
33110,type3,p3,nob/c,3.75
33111,type1,p3,nob/c,4.375
33112,type2,p3,b/c,0
33113,type1,p4,nob/c,4.375
33114,type1,p1,nob/c,4.125
33115,type3,p4,nob/c,0
33116,type1,p3,nob/c,5.5
33117,type1,p4,nob/c,3.5
33118,type1,p4,nob/c,3.99
33119,type1,p4,nob/c,4.5
33120,type1,p4,nob/c,3.75
33121,type3,p1,nob/c,3.625
33122,type1,p3,nob/c,4.375
33123,type1,p3,nob/c,3.875
33124,type1,p4,nob/c,0
33125,type1,p4,nob/c,3.75
33126,type3,p1,nob/c,4.125
33127,type1,p4,nob/c,4.25
33128,type1,p4,nob/c,3.75
33129,type1,p4,nob/c,0
33130,type3,p4,nob/c,4
33131,type3,p3,nob/c,4.5
33132,type1,p3,nob/c,0
33133,type1,p2,nob/c,4
33134,type3,p3,nob/c,3.99
33135,type1,p3,nob/c,4.75
33136,type1,p4,nob/c,3.625
33137,type1,p1,nob/c,0
33138,type1,p1,nob/c,4.875
33139,type1,p4,nob/c,3.125
33140,type1,p1,nob/c,3.875
33141,type1,p4,nob/c,4.375
33142,type1,p3,nob/c,3.625
33143,type1,p3,nob/c,0
33144,type1,p4,nob/c,3.375
33145,type1,p4,nob/c,4.99
33146,type2,p1,b/c,4.25
33147,type1,p4,nob/c,2.875
33148,type3,p3,nob/c,3.375
33149,type1,p4,nob/c,0
33150,type1,p1,nob/c,4.375
33151,type1,p4,nob/c,0
33152,type1,p4,nob/c,0
33153,type1,p4,nob/c,3.625
33154,type1,p4,nob/c,3
33155,type1,p2,nob/c,0
33156,type1,p3,nob/c,4.75
33157,type1,p3,nob/c,4.99
33158,type1,p4,nob/c,4.25
33159,type1,p3,nob/c,3.875
33160,type1,p4,nob/c,3.99
33161,type1,p1,nob/c,0
33162,type2,p3,b/c,4.375
33163,type1,p4,nob/c,4.5
33164,type1,p1,nob/c,4.125
33165,type1,p3,nob/c,4.99
33166,type1,p1,nob/c,4.75
33167,type1,p2,nob/c,5.75
33168,type1,p3,nob/c,3.99
33169,type2,p3,b/c,4.375
33170,type1,p4,nob/c,0
33171,type1,p4,nob/c,4.125
33172,type2,p4,b/c,0
33173,type3,p4,nob/c,3.75
33174,type1,p3,nob/c,3.99
33175,type1,p4,nob/c,4.375
33176,type1,p3,nob/c,4.5
33177,type3,p4,nob/c,3.75
33178,type1,p3,nob/c,3.75
33179,type1,p4,nob/c,3.5
33180,type1,p1,nob/c,4.25
33181,type1,p2,nob/c,0
33182,type1,p2,nob/c,3.625
33183,type1,p4,nob/c,0
33184,type1,p1,nob/c,0
33185,type1,p1,nob/c,3.99
33186,type1,p1,nob/c,4.5
33187,type3,p4,nob/c,3.125
33188,type2,p1,b/c,3.99
33189,type1,p4,nob/c,0
33190,type1,p4,nob/c,3.99
33191,type1,p1,nob/c,0
33192,type1,p1,nob/c,4.75
33193,type1,p4,nob/c,3.375
33194,type1,p4,nob/c,3.375
33195,type1,p1,nob/c,4.125
33196,type1,p1,nob/c,4
33197,type1,p3,nob/c,4.875
33198,type1,p3,nob/c,4.99
33199,type1,p4,nob/c,5.19
33200,type1,p3,nob/c,3.875
33201,type3,p4,nob/c,3.75
33202,type1,p1,nob/c,3.875
33203,type1,p4,nob/c,0
33204,type1,p4,nob/c,2.99
33205,type1,p1,nob/c,4
33206,type1,p3,nob/c,3.375
33207,type2,p4,b/c,3.5
33208,type1,p1,nob/c,4.99
33209,type1,p3,nob/c,0
33210,type2,p4,b/c,0
33211,type3,p3,nob/c,0
33212,type1,p1,nob/c,4.375
33213,type1,p4,nob/c,3.625
33214,type1,p1,nob/c,0
33215,type1,p3,nob/c,3.625
33216,type1,p3,nob/c,4.625
33217,type1,p1,nob/c,4
33218,type1,p1,nob/c,4.25
33219,type1,p3,nob/c,4.125
33220,type1,p4,nob/c,4.75
33221,type1,p3,nob/c,0
33222,type1,p3,nob/c,0
33223,type3,p4,nob/c,3.625
33224,type2,p1,b/c,3.49
33225,type2,p1,b/c,0
33226,type1,p1,nob/c,0
33227,type2,p3,b/c,0
33228,type1,p4,nob/c,3.75
33229,type1,p3,nob/c,3.99
33230,type1,p3,nob/c,3.375
33231,type1,p4,nob/c,4
33232,type2,p4,b/c,0
33233,type1,p3,nob/c,4.25
33234,type1,p3,nob/c,3.125
33235,type2,p4,b/c,3.5
33236,type1,p3,nob/c,0
33237,type1,p4,nob/c,3.625
33238,type2,p3,b/c,3.625
33239,type1,p4,nob/c,0
33240,type1,p4,nob/c,0
33241,type1,p1,nob/c,3.875
33242,type1,p1,nob/c,4.75
33243,type2,p1,b/c,4.25
33244,type1,p4,nob/c,4.125
33245,type2,p4,b/c,3.625
33246,type1,p3,nob/c,3.875
33247,type1,p4,nob/c,4.375
33248,type2,p3,b/c,4.75
33249,type1,p3,nob/c,3.875
33250,type1,p3,nob/c,4.875
33251,type2,p4,b/c,3.25
33252,type1,p4,nob/c,5.125
33253,type1,p3,nob/c,0
33254,type1,p4,nob/c,4.56
33255,type2,p1,b/c,3.99
33256,type2,p1,b/c,4.125
33257,type1,p4,nob/c,3.375
33258,type1,p4,nob/c,3.175
33259,type1,p3,nob/c,4.375
33260,type2,p1,b/c,3.99
33261,type3,p4,nob/c,3.5
33262,type3,p4,nob/c,3.125
33263,type1,p1,nob/c,3.375
33264,type1,p3,nob/c,0
33265,type3,p4,nob/c,3.25
33266,type1,p4,nob/c,0
33267,type1,p4,nob/c,4.375
33268,type1,p4,nob/c,5.375
33269,type1,p1,nob/c,4.875
33270,type1,p4,nob/c,4
33271,type1,p4,nob/c,4.18
33272,type2,p4,b/c,2.99
33273,type1,p3,nob/c,0
33274,type1,p3,nob/c,4.125
33275,type1,p1,nob/c,3.99
33276,type1,p4,nob/c,4.75
33277,type1,p4,nob/c,3.375
33278,type1,p4,nob/c,0
33279,type1,p4,nob/c,3.5
33280,type1,p4,nob/c,3.5
33281,type1,p3,nob/c,4.75
33282,type1,p3,nob/c,5.125
33283,type3,p3,nob/c,4.25
33284,type1,p4,nob/c,0
33285,type2,p4,b/c,3.25
33286,type1,p3,nob/c,5.5
33287,type1,p1,nob/c,3.625
33288,type2,p3,b/c,3.5
33289,type2,p3,b/c,3.99
33290,type1,p3,nob/c,3.99
33291,type1,p4,nob/c,3.99
33292,type1,p4,nob/c,0
33293,type1,p1,nob/c,3.75
33294,type2,p4,b/c,0
33295,type1,p4,nob/c,3.75
33296,type1,p3,nob/c,5.25
33297,type2,p1,b/c,3.125
33298,type1,p4,nob/c,3.125
33299,type1,p3,nob/c,3.75
33300,type1,p3,nob/c,0
33301,type1,p3,nob/c,4.99
33302,type1,p4,nob/c,0
33303,type1,p3,nob/c,5.375
33304,type1,p3,nob/c,0
33305,type2,p4,b/c,0
33306,type1,p4,nob/c,0
33307,type1,p1,nob/c,0
33308,type1,p1,nob/c,3.875
33309,type1,p1,nob/c,0
33310,type1,p4,nob/c,4.5
33311,type2,p1,b/c,0
33312,type1,p1,nob/c,4.375
33313,type1,p3,nob/c,4.5
33314,type1,p1,nob/c,4.75
33315,type1,p1,nob/c,3.625
33316,type1,p3,nob/c,4.375
33317,type1,p3,nob/c,4.625
33318,type2,p4,b/c,3.25
33319,type1,p1,nob/c,4.25
33320,type1,p3,nob/c,3.5
33321,type1,p4,nob/c,0
33322,type1,p3,nob/c,3.69
33323,type1,p4,nob/c,3.875
33324,type1,p4,nob/c,3.5
33325,type1,p3,nob/c,4.99
33326,type1,p3,nob/c,3.625
33327,type1,p3,nob/c,0
33328,type1,p4,nob/c,4.375
33329,type1,p1,nob/c,0
33330,type1,p1,nob/c,0
33331,type1,p1,nob/c,4.25
33332,type2,p3,b/c,4.99
33333,type1,p3,nob/c,0
33334,type3,p3,nob/c,3.25
33335,type3,p4,nob/c,3.49
33336,type1,p4,nob/c,4
33337,type1,p3,nob/c,0
33338,type1,p1,nob/c,3.99
33339,type2,p4,b/c,3.99
33340,type1,p4,nob/c,3.99
33341,type1,p3,nob/c,4.99
33342,type1,p1,nob/c,4.25
33343,type1,p3,nob/c,3.99
33344,type1,p3,nob/c,3.875
33345,type1,p3,nob/c,4.625
33346,type1,p2,nob/c,4.5
33347,type1,p3,nob/c,0
33348,type2,p4,b/c,3.99
33349,type1,p1,nob/c,0
33350,type1,p4,nob/c,3.75
33351,type1,p4,nob/c,0
33352,type3,p4,nob/c,3.25
33353,type1,p4,nob/c,3.625
33354,type2,p1,b/c,3.375
33355,type1,p4,nob/c,0
33356,type1,p3,nob/c,3.75
33357,type1,p3,nob/c,4.875
33358,type1,p3,nob/c,3.99
33359,type1,p1,nob/c,3.99
33360,type1,p4,nob/c,3.75
33361,type1,p4,nob/c,3.875
33362,type1,p1,nob/c,4.625
33363,type1,p3,nob/c,3.99
33364,type1,p2,nob/c,4.5
33365,type1,p3,nob/c,3.75
33366,type1,p4,nob/c,4.25
33367,type1,p1,nob/c,0
33368,type1,p1,nob/c,4.56
33369,type1,p1,nob/c,3.625
33370,type1,p4,nob/c,0
33371,type1,p4,nob/c,3.99
33372,type3,p4,nob/c,3.49
33373,type1,p4,nob/c,3.99
33374,type1,p3,nob/c,4.125
33375,type1,p3,nob/c,4.5
33376,type1,p4,nob/c,0
33377,type1,p3,nob/c,4.75
33378,type2,p1,b/c,0
33379,type1,p4,nob/c,3.625
33380,type1,p3,nob/c,0
33381,type3,p4,nob/c,3.25
33382,type1,p4,nob/c,4.875
33383,type1,p4,nob/c,3.99
33384,type1,p4,nob/c,3.99
33385,type3,p4,nob/c,0
33386,type1,p4,nob/c,3.99
33387,type1,p3,nob/c,4.125
33388,type2,p3,b/c,0
33389,type1,p3,nob/c,4.75
33390,type1,p3,nob/c,0
33391,type1,p1,nob/c,4.875
33392,type2,p1,b/c,3.25
33393,type2,p3,b/c,0
33394,type1,p1,nob/c,4.25
33395,type1,p3,nob/c,4.99
33396,type1,p3,nob/c,0
33397,type1,p3,nob/c,4.99
33398,type1,p4,nob/c,3.875
33399,type3,p4,nob/c,0
33400,type1,p3,nob/c,3.99
33401,type1,p3,nob/c,0
33402,type1,p1,nob/c,4.75
33403,type1,p3,nob/c,4.99
33404,type1,p1,nob/c,3.99
33405,type1,p4,nob/c,3.5
33406,type1,p3,nob/c,3.875
33407,type1,p4,nob/c,3.99
33408,type2,p3,b/c,3
33409,type1,p4,nob/c,4.375
33410,type1,p1,nob/c,3.75
33411,type1,p4,nob/c,0
33412,type2,p1,b/c,0
33413,type3,p3,nob/c,3.75
33414,type1,p4,nob/c,4.125
33415,type3,p3,nob/c,0
33416,type2,p1,b/c,0
33417,type2,p4,b/c,2.99
33418,type1,p1,nob/c,0
33419,type1,p3,nob/c,3.5
33420,type1,p3,nob/c,4.75
33421,type1,p3,nob/c,3.99
33422,type1,p4,nob/c,4.25
33423,type1,p1,nob/c,0
33424,type2,p4,b/c,3.125
33425,type3,p4,nob/c,3.49
33426,type1,p1,nob/c,0
33427,type1,p3,nob/c,0
33428,type1,p3,nob/c,0
